n1_n2,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2,,,,,,,0,0,0,0,1,1,1,1
3,,,0,1,1,2,2,3,3,4,4,5,5
4,,0,1,2,3,4,4,5,6,7,8,9,10
5,0,1,2,3,5,6,7,8,9,11,12,13,14
6,1,2,3,5,6,8,10,11,13,14,16,17,19
7,1,3,5,6,8,10,12,14,16,18,20,22,24
8,0,2,4,6,8,10,13,15,17,19,22,24,26,29
9,0,2,4,7,10,12,15,17,20,23,26,28,31,34
10,0,3,5,8,11,14,17,20,23,26,29,33,36,39
11,0,3,6,9,13,16,19,23,26,30,33,37,40,44
12,1,4,7,11,14,18,22,26,29,33,37,41,45,49
13,1,4,8,12,16,20,24,28,33,37,41,45,50,54
14,1,5,9,13,17,22,26,31,36,40,45,50,55,59
15,1,5,10,14,19,24,29,34,39,44,49,54,59,64